nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T05:17:10+0530 lvl=info msg="join connections" obj=join id=e37fb334ece7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50440
t=2025-10-29T05:17:23+0530 lvl=info msg="join connections" obj=join id=7e67631669ba l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62015
t=2025-10-29T05:17:37+0530 lvl=info msg="join connections" obj=join id=78c9ba46b2e4 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:60258
t=2025-10-29T05:17:40+0530 lvl=info msg="join connections" obj=join id=007a331772e2 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:60305
t=2025-10-29T05:17:40+0530 lvl=info msg="join connections" obj=join id=e9723954e63f l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:60305
t=2025-10-29T05:17:50+0530 lvl=info msg="join connections" obj=join id=d9c5b539fd86 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:56325
t=2025-10-29T05:17:54+0530 lvl=info msg="join connections" obj=join id=861121ad5c70 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:56325
t=2025-10-29T05:17:54+0530 lvl=info msg="join connections" obj=join id=a9e6c7f03315 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:56325
t=2025-10-29T05:17:54+0530 lvl=info msg="join connections" obj=join id=f3a01034e32c l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:56325
t=2025-10-29T05:17:54+0530 lvl=info msg="join connections" obj=join id=e7a99881e470 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:56325
t=2025-10-29T05:19:13+0530 lvl=info msg="join connections" obj=join id=c095745de23e l=127.0.0.1:8080 r=172.71.198.61:59535
t=2025-10-29T05:19:13+0530 lvl=info msg="join connections" obj=join id=a7cbe44d7cad l=127.0.0.1:8080 r=172.69.95.195:57020
t=2025-10-29T05:19:14+0530 lvl=info msg="join connections" obj=join id=30e66155c591 l=127.0.0.1:8080 r=20.191.45.212:3845
